genus,interval,survived,occurrence_count,collection_count,environment_breadth,formation_breadth,duration,sampling_intensity,lat_range,lng_range,lazarus
Abichites,Changhsingian,0,119,81,4,4,1,119,13.610001,61.050003000000004,0
Abrekia,Griesbachian,0,7,7,3,5,3,7,15.367334000000003,33.908103999999994,1
Abrekia,Smithian,0,7,7,3,5,3,7,15.367334000000003,33.908103999999994,1
Abrekia,Aegean,0,7,7,3,5,3,7,15.367334000000003,33.908103999999994,1
Abrekites,Smithian,0,7,6,5,3,1,7,6.222102999999997,250.452507,0
Abrekopsis,Griesbachian,1,21,21,7,5,4,21,21.208801,246.19194,0
Abrekopsis,Dienerian,1,21,21,7,5,4,21,21.208801,246.19194,0
Abrekopsis,Smithian,1,21,21,7,5,4,21,21.208801,246.19194,0
Abrekopsis,Spathian,0,21,21,7,5,4,21,21.208801,246.19194,0
Acanthopecten,Changhsingian,0,3,3,3,2,1,3,2.430000999999997,4.175004000000001,0
Acharax,Changhsingian,0,4,4,1,1,1,4,0.09799999999999898,0.20319999999999894,0
Aclisina,Changhsingian,0,2,2,1,1,2,2,11.608001999999999,18.15900400000001,0
Aclisina,Spathian,0,2,2,1,1,2,2,11.608001999999999,18.15900400000001,0
Acosarina,Changhsingian,1,141,136,12,20,2,141,32.105001,67.618,0
Acosarina,Griesbachian,0,141,136,12,20,2,141,32.105001,67.618,0
Acrochordiceras,Smithian,0,217,161,12,24,6,217,46.474999,250.166,1
Acrochordiceras,Aegean,1,217,161,12,24,6,217,46.474999,250.166,1
Acrochordiceras,Bithynian,1,217,161,12,24,6,217,46.474999,250.166,1
Acrochordiceras,Pelsonian,1,217,161,12,24,6,217,46.474999,250.166,1
Acrochordiceras,Illyrian,1,217,161,12,24,6,217,46.474999,250.166,1
Acteonina,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Actinodontophora,Changhsingian,0,2,2,1,2,1,2,1.8740009999999998,1.828994999999992,0
Acutomeekoceras,Smithian,0,1,1,1,1,1,1,0.0,0.0,0
Adygella,Aegean,1,13,13,3,3,4,13,32.511201,75.9405,1
Adygella,Bithynian,0,13,13,3,3,4,13,32.511201,75.9405,1
Adygella,Illyrian,1,13,13,3,3,4,13,32.511201,75.9405,1
Aegeiceras,Aegean,1,8,8,3,1,3,8,14.373500999999997,54.152001999999996,0
Aegeiceras,Bithynian,0,8,8,3,1,3,8,14.373500999999997,54.152001999999996,0
Aghdarbandites,Aegean,1,23,23,2,2,2,23,7.795165999999995,31.422998999999997,0
Aghdarbandites,Bithynian,0,23,23,2,2,2,23,7.795165999999995,31.422998999999997,0
Alanites,Bithynian,1,18,17,5,7,2,18,38.424,164.253334,0
Alanites,Pelsonian,0,18,17,5,7,2,18,38.424,164.253334,0
Alatoproductus,Changhsingian,0,4,4,4,2,1,4,4.298099000000001,0.3705970000000036,0
Alatorthotetina,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Albanites,Spathian,1,48,33,6,8,2,48,91.214164,253.005318,0
Albanites,Aegean,0,48,33,6,8,2,48,91.214164,253.005318,0
Aldanoceras,Changhsingian,1,8,8,2,2,2,8,43.056667000000004,79.52805699999999,0
Aldanoceras,Griesbachian,0,8,8,2,2,2,8,43.056667000000004,79.52805699999999,0
Alibashites,Changhsingian,0,56,47,4,3,1,56,9.029999,8.340000000000003,0
Allocosmia,Pelsonian,0,6,6,2,1,2,6,0.0033320000000003347,0.006668000000004781,1
Allorhynchus,Changhsingian,0,2,2,2,2,1,2,0.0,0.0,0
Allorisma,Changhsingian,0,5,4,2,3,1,5,14.933889,176.42083,0
Alphaneospirifer,Changhsingian,0,19,18,5,4,1,19,26.570555999999996,32.133888,0
Altadema,Griesbachian,1,6,6,3,1,2,6,0.6281660000000002,0.5729000000000006,0
Altadema,Dienerian,0,6,6,3,1,2,6,0.6281660000000002,0.5729000000000006,0
Alula,Changhsingian,0,1,1,1,0,1,1,0.0,0.0,0
Ambikella,Changhsingian,0,16,13,3,3,1,16,75.247311,90.19254299999999,0
Ambites,Griesbachian,1,135,108,8,16,3,135,94.405001,256.758461,0
Ambites,Dienerian,1,135,108,8,16,3,135,94.405001,256.758461,0
Ambites,Smithian,0,135,108,8,16,3,135,94.405001,256.758461,0
Ambitoides,Dienerian,0,1,1,1,1,1,1,0.0,0.0,0
Ambocoeliidae,Griesbachian,0,4,4,1,0,1,4,0.0,0.0,0
Ammonoidea,Changhsingian,1,34,34,9,10,5,34,107.593613,229.30694599999998,1
Ammonoidea,Griesbachian,0,34,34,9,10,5,34,107.593613,229.30694599999998,1
Ammonoidea,Smithian,1,34,34,9,10,5,34,107.593613,229.30694599999998,1
Ammonoidea,Spathian,0,34,34,9,10,5,34,107.593613,229.30694599999998,1
Ammonoidea,Pelsonian,0,34,34,9,10,5,34,107.593613,229.30694599999998,1
Ampezzopleura,Smithian,0,3,3,2,2,1,3,17.280502,217.352387,0
Amphijanira,Bithynian,0,1,1,1,1,1,1,0.0,0.0,0
Amphipopanoceras,Aegean,1,47,46,2,6,5,47,128.54441400000002,293.019097,0
Amphipopanoceras,Bithynian,1,47,46,2,6,5,47,128.54441400000002,293.019097,0
Amphipopanoceras,Pelsonian,1,47,46,2,6,5,47,128.54441400000002,293.019097,0
Amphipopanoceras,Illyrian,1,47,46,2,6,5,47,128.54441400000002,293.019097,0
Amphistephanites,Smithian,0,3,3,1,1,1,3,0.1333309999999983,0.01667800000001307,0
Amygdalocosta,Changhsingian,0,3,3,2,1,1,3,0.3014179999999982,0.5223080000000095,0
Anaflemingites,Smithian,0,29,26,11,5,1,29,68.943999,270.753808,0
Anagymnites,Aegean,1,15,13,2,2,4,15,40.703892,256.264999,1
Anagymnites,Bithynian,0,15,13,2,2,4,15,40.703892,256.264999,1
Anagymnites,Illyrian,1,15,13,2,2,4,15,40.703892,256.264999,1
Anagymnotoceras,Bithynian,1,39,36,3,7,4,39,44.699997,278.745003,0
Anagymnotoceras,Pelsonian,1,39,36,3,7,4,39,44.699997,278.745003,0
Anagymnotoceras,Illyrian,1,39,36,3,7,4,39,44.699997,278.745003,0
Anahedenstroemia,Smithian,1,3,3,1,0,2,3,71.714164,67.437775,0
Anahedenstroemia,Spathian,0,3,3,1,0,2,3,71.714164,67.437775,0
Anakashmirites,Smithian,1,11,11,2,0,2,11,81.330833,61.633331,0
Anakashmirites,Spathian,0,11,11,2,0,2,11,81.330833,61.633331,0
Ananias,Changhsingian,0,3,3,2,2,2,3,1.1833349999999996,32.75,0
Anasibirites,Smithian,1,125,80,10,18,2,125,106.64000100000001,258.103997,0
Anasibirites,Spathian,0,125,80,10,18,2,125,106.64000100000001,258.103997,0
Anawasatchites,Smithian,0,24,15,1,3,1,24,37.231003,257.394997,0
Anaxenaspis,Smithian,1,57,56,6,9,2,57,91.353892,260.314995,0
Anaxenaspis,Spathian,0,57,56,6,9,2,57,91.353892,260.314995,0
Anchorhynchia,Changhsingian,0,38,33,7,6,1,38,26.772001000000003,18.002608999999993,0
Ancorhynchia,Changhsingian,0,6,6,3,2,1,6,3.362100999999999,1.8660050000000012,0
Anematina,Changhsingian,0,3,3,2,1,1,3,0.09000000000000341,0.34999899999999684,0
Angustothyris,Bithynian,1,62,62,9,9,4,62,25.971109999999996,94.916113,0
Angustothyris,Pelsonian,1,62,62,9,9,4,62,25.971109999999996,94.916113,0
Angustothyris,Illyrian,1,62,62,9,9,4,62,25.971109999999996,94.916113,0
Anidanthus,Changhsingian,0,45,42,8,11,1,45,21.833332,77.76499899999999,0
Annuliconcha,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Anodontophora,Griesbachian,1,2,2,1,1,2,2,0.010002000000000066,0.030000999999998612,0
Anodontophora,Dienerian,0,2,2,1,1,2,2,0.010002000000000066,0.030000999999998612,0
