accepted_name,early_interval,late_interval,collection_no,environment,formation,lat,lng,max_ma,min_ma
Marginalosia planata,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Terrakea,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Spiriferella,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Martinia,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Tomiopsis,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Tomiopsis,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Tomiopsis,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Notospirifer,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Maorielasma,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Wairakiella rostrata,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Amygdalocosta rara,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Labaia,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Tomiopsis,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Notospirifer,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Martiniopsis patella,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Maorielasma,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Acosarina,Changhsingian,,8103,marine indet.,Huai Tak,18.620001,99.839996,254.14,251.902
Martiniopsis,Changhsingian,,8103,marine indet.,Huai Tak,18.620001,99.839996,254.14,251.902
Dielasma,Changhsingian,,8103,marine indet.,Huai Tak,18.620001,99.839996,254.14,251.902
Leptodus,Changhsingian,,8103,marine indet.,Huai Tak,18.620001,99.839996,254.14,251.902
Neospirifer,Changhsingian,,8103,marine indet.,Huai Tak,18.620001,99.839996,254.14,251.902
Peltichia kwangtungensis,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Acosarina,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Meekella,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Orthothetina,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Erismatina cooperi,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Glyptosteges,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Tschernyschewia,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Lampangella lata,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Transennatia pitakpaivani,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Spinomarginifera kueichowensis,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Spinomarginifera plena,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Spinomarginifera,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Sarytchevinella tenuissima,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Compressoproductus pentagonalis,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Chonopectoides,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Oldhamina squamosa,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Araxathyris,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Septospirigerella felinella,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Prelissorhynchia pseudoutah,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Cruricella subspeciosa,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Attenuatella,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Alphaneospirifer anshunensis,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Anisactinella,Anisian,Ladinian,20666,open shallow subtidal,Mt. Facito,40.483334,15.65,246.7,237.0
Punctospirella fragilis,Anisian,Ladinian,20666,open shallow subtidal,Mt. Facito,40.483334,15.65,246.7,237.0
Decurtella,Anisian,,29188,,,45.0,10.0,246.7,241.464
Decurtella,Anisian,,29189,,,45.0,10.0,246.7,241.464
