genus,Changhsingian,Griesbachian,Dienerian,Smithian,Spathian,Aegean,Bithynian,Pelsonian,Illyrian,Anisian
Abichites,1,0,0,0,0,0,0,0,0,0
Abrekia,0,1,0,1,0,1,0,0,0,0
Abrekites,0,0,0,1,0,0,0,0,0,0
Abrekopsis,0,1,1,1,1,0,0,0,0,0
Acanthopecten,1,0,0,0,0,0,0,0,0,0
Acharax,1,0,0,0,0,0,0,0,0,0
Acilia,0,0,0,0,0,0,0,0,0,1
Aclisina,1,0,0,0,1,0,0,0,0,0
Acosarina,1,1,0,0,0,0,0,0,0,0
Acrochordiceras,0,0,0,1,0,1,1,1,1,1
Acteonina,1,0,0,0,0,0,0,0,0,0
Actinodontophora,1,0,0,0,0,0,0,0,0,0
Acutomeekoceras,0,0,0,1,0,0,0,0,0,0
Adygella,0,0,0,0,0,1,1,0,1,1
Aegeiceras,0,0,0,0,0,1,1,0,0,1
Aequipecten,0,0,0,0,0,0,0,0,0,1
Aequspiriferina,0,0,0,0,0,0,0,0,0,1
Aghdarbandites,0,0,0,0,0,1,1,0,0,0
Alanites,0,0,0,0,0,0,1,1,0,0
Alatoproductus,1,0,0,0,0,0,0,0,0,0
Alatorthotetina,1,0,0,0,0,0,0,0,0,0
Albanites,0,0,0,0,1,1,0,0,0,0
Aldanoceras,1,1,0,0,0,0,0,0,0,0
Alibashites,1,0,0,0,0,0,0,0,0,0
Allocosmia,0,0,0,0,0,0,0,1,0,1
Allorhynchus,1,0,0,0,0,0,0,0,0,0
Allorisma,1,0,0,0,0,0,0,0,0,0
Alphaneospirifer,1,0,0,0,0,0,0,0,0,0
Altadema,0,1,1,0,0,0,0,0,0,0
Alula,1,0,0,0,0,0,0,0,0,0
Ambikella,1,0,0,0,0,0,0,0,0,0
Ambites,0,1,1,1,0,0,0,0,0,0
Ambitoides,0,0,1,0,0,0,0,0,0,0
Ambocoeliidae,0,1,0,0,0,0,0,0,0,0
Ammonitida,0,0,0,0,0,0,0,0,0,1
Ammonoidea,1,1,0,1,1,0,0,1,0,0
Ampezzopleura,0,0,0,1,0,0,0,0,0,0
Amphijanira,0,0,0,0,0,0,1,0,0,0
Amphipopanoceras,0,0,0,0,0,1,1,1,1,1
Amphistephanites,0,0,0,1,0,0,0,0,0,0
Ampullina,0,0,0,0,0,0,0,0,0,1
Amygdalocosta,1,0,0,0,0,0,0,0,0,0
Anaflemingites,0,0,0,1,0,0,0,0,0,0
Anagymnites,0,0,0,0,0,1,1,0,1,1
Anagymnotoceras,0,0,0,0,0,0,1,1,1,1
Anahedenstroemia,0,0,0,1,1,0,0,0,0,0
Anakashmirites,0,0,0,1,1,0,0,0,0,0
Ananias,1,0,0,0,0,0,0,0,0,1
Ananorites,0,0,0,0,0,0,0,0,0,1
Anasibirites,0,0,0,1,1,0,0,0,0,0
Anawasatchites,0,0,0,1,0,0,0,0,0,0
Anaxenaspis,0,0,0,1,1,0,0,0,0,0
Anchorhynchia,1,0,0,0,0,0,0,0,0,0
Ancorhynchia,1,0,0,0,0,0,0,0,0,0
Anematina,1,0,0,0,0,0,0,0,0,0
Angustothyris,0,0,0,0,0,0,1,1,1,1
Anidanthus,1,0,0,0,0,0,0,0,0,0
Anisactinella,0,0,0,0,0,0,0,0,0,1
Annuliconcha,1,0,0,0,0,0,0,0,0,0
Anodontophora,0,1,1,0,0,0,0,0,0,0
Anomalodesmata,0,0,0,0,0,0,1,0,0,0
Anomia,1,1,0,0,0,0,0,0,0,0
Anomphalus,1,1,0,1,0,0,0,0,0,1
Anotoceras,0,1,1,0,0,0,0,0,0,0
Antezeilleria,0,0,0,0,1,0,0,0,0,0
Aorhynchia,0,0,0,0,0,0,0,0,0,1
Apachella,1,0,0,0,0,0,0,0,0,0
Aparimarhynchia,0,0,0,0,0,0,0,0,0,1
Aperispirifer,1,0,0,0,0,0,0,0,0,0
Aplococeras,0,0,0,0,0,0,0,0,1,1
Arasella,1,0,0,0,0,0,0,0,0,0
Araxathyris,1,1,0,0,0,0,0,0,0,0
Araxoceras,1,0,0,0,0,0,0,0,0,0
Arca,0,0,0,0,0,0,0,0,0,1
Arcavicula,0,0,0,0,1,0,0,1,0,0
Arcestes,0,0,0,1,0,0,0,1,1,1
Arcomya,0,0,0,0,1,0,0,1,0,0
Arcoptera,0,0,0,0,0,0,0,0,1,0
Arctitreta,1,0,0,0,0,0,0,0,0,0
Arctocardinia,0,0,0,0,0,1,0,0,0,0
Arctoceras,0,0,1,1,1,1,0,0,0,0
Arctoceratidae,0,0,0,1,0,0,0,0,0,0
Arctogymnites,0,0,0,0,0,0,0,0,1,1
Arctohungarites,0,0,0,0,1,1,1,1,0,1
Arctomeekoceras,0,0,0,0,1,0,0,0,0,0
Arctophyllites,0,0,0,0,0,0,0,0,0,1
Arctoprionites,0,0,0,1,1,0,0,0,0,0
Arctoptychites,0,0,0,0,0,0,0,0,0,1
Arcullina,1,0,0,0,0,0,0,0,0,0
Argolites,0,0,0,0,0,0,0,0,0,1
Arianites,0,0,0,0,1,0,0,0,0,0
Aristoptychites,0,0,0,0,0,0,0,0,1,0
Arnautoceltites,0,0,0,1,1,0,0,0,0,0
Arpadites,0,0,0,0,0,0,0,0,0,1
Arthaberites,0,0,0,0,0,0,0,0,1,0
Asoella,0,1,0,1,0,0,1,1,0,1
Aspenites,0,0,1,1,1,0,0,0,0,0
Asperlinus,1,0,0,0,0,0,0,0,0,0
Aspidites,0,0,0,1,0,0,0,0,0,0
Asseretoceras,0,0,0,0,0,0,0,0,1,1
Astarte,0,0,0,0,0,0,0,1,0,1
Astartella,1,1,0,0,1,0,0,0,0,0
Astartellopsis,0,0,0,0,0,0,0,0,0,1
Astartidae,0,0,0,0,1,0,0,0,0,0
Astartila,1,0,0,0,0,0,0,0,0,0
Astartopsis,0,1,0,0,0,0,0,0,0,0
Athyrella,1,0,0,0,0,0,0,0,0,0
Athyrididae,1,0,0,0,0,0,0,0,0,0
Athyris,1,0,0,0,0,0,0,1,0,1
Athyrorhynchia,0,0,0,0,0,0,0,0,0,1
Atomodesma,1,1,0,0,0,0,0,0,0,0
Atorcula,0,0,0,1,0,0,0,0,0,0
Atriboniidae,0,0,0,1,0,0,0,0,0,0
Atrina,0,0,0,0,0,0,1,1,0,0
Attenuatella,1,0,0,0,0,0,0,0,0,0
Augustaceras,0,0,0,0,0,0,1,1,0,0
Aulacothyris,0,0,0,0,0,0,0,1,1,1
Aulacothyroides,0,0,0,0,0,0,0,0,0,1
Aulosteges,1,0,0,0,0,0,0,0,0,0
Aulostegidae,1,0,0,0,0,0,0,0,0,0
Aurilinoproductus,1,0,0,0,0,0,0,0,0,0
Austriellula,0,0,0,0,1,0,1,1,0,1
Austrotindaria,1,1,1,1,1,0,0,0,0,0
Avichlamys,0,0,0,0,1,0,1,0,0,0
